Path,Explanation,Inhibited
"[['AKT1(S473)', 'up', 'conflicting', 'PRKD1', 'PRKD1(S205)', 'up', 'p_inc'], ['PRKD1(S205)', 'up', 'p_inc', 'PRKCD', 'PRKCD(T511)', 'unaffected', 'unknown'], Variable(146)]",unaffected,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PRKD1', 'PRKD1(S205)', 'up', 'p_inc'], ['PRKD1(S205)', 'up', 'p_inc', 'PRKCD', 'PRKCD(Y646)', 'unaffected', 'unknown'], Variable(146)]",unaffected,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PRKD1', 'PRKD1(S205)', 'up', 'p_inc'], ['PRKD1(S205)', 'up', 'p_inc', 'PRKCD', 'PRKCD(T141)', 'up', 'p_inc'], ['PRKCD(T141)', 'up', 'p_inc', 'PRKCD', 'PRKCD(S307)', 'unaffected', 'unknown'], Variable(156)]",unaffected,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PRKD1', 'PRKD1(S205)', 'up', 'p_inc'], ['PRKD1(S205)', 'up', 'p_inc', 'PRKCD', 'PRKCD(T141)', 'up', 'p_inc'], ['PRKCD(T141)', 'up', 'p_inc', 'PRKCD', 'PRKCD(S306)', 'up', 'unknown'], ['PRKCD(S306)', 'up', 'unknown', 'LIMK2', 'LIMK2(S293)', 'up', 'unknown'], ['LIMK2(S293)', 'up', 'unknown', 'na', 'na', 'na', 'na'], Variable(176)]",no_prior_knowledge,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PRKD1', 'PRKD1(S205)', 'up', 'p_inc'], ['PRKD1(S205)', 'up', 'p_inc', 'PRKCD', 'PRKCD(T141)', 'up', 'p_inc'], ['PRKCD(T141)', 'up', 'p_inc', 'PRKCD', 'PRKCD(S306)', 'up', 'unknown'], ['PRKCD(S306)', 'up', 'unknown', 'SRPK2', 'SRPK2(S497)', 'unaffected', 'unknown'], Variable(166)]",unaffected,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PRKD1', 'PRKD1(S205)', 'up', 'p_inc'], ['PRKD1(S205)', 'up', 'p_inc', 'PRKCD', 'PRKCD(T141)', 'up', 'p_inc'], ['PRKCD(T141)', 'up', 'p_inc', 'PRKCD', 'PRKCD(S306)', 'up', 'unknown'], ['PRKCD(S306)', 'up', 'unknown', 'SRPK2', 'SRPK2(S52)', 'up', 'unknown'], ['SRPK2(S52)', 'up', 'unknown', 'na', 'na', 'na', 'na'], Variable(176)]",no_prior_knowledge,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PRKD1', 'PRKD1(S205)', 'up', 'p_inc'], ['PRKD1(S205)', 'up', 'p_inc', 'PRKCD', 'PRKCD(T141)', 'up', 'p_inc'], ['PRKCD(T141)', 'up', 'p_inc', 'PRKCD', 'PRKCD(S304)', 'down', 'p_inc'], Variable(156)]",unexpectedFC,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PRKD1', 'PRKD1(S205)', 'up', 'p_inc'], ['PRKD1(S205)', 'up', 'p_inc', 'PRKCD', 'PRKCD(T141)', 'up', 'p_inc'], ['PRKCD(T141)', 'up', 'p_inc', 'PRKCD', 'PRKCD(S299)', 'unaffected', 'p_inc'], Variable(156)]",unaffected,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PRKD1', 'PRKD1(S205)', 'up', 'p_inc'], ['PRKD1(S205)', 'up', 'p_inc', 'PRKCD', 'PRKCD(T141)', 'up', 'p_inc'], ['PRKCD(T141)', 'up', 'p_inc', 'PRKCD', 'PRKCD(T511)', 'unaffected', 'unknown'], Variable(156)]",unaffected,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PRKD1', 'PRKD1(S205)', 'up', 'p_inc'], ['PRKD1(S205)', 'up', 'p_inc', 'PRKCD', 'PRKCD(T141)', 'up', 'p_inc'], ['PRKCD(T141)', 'up', 'p_inc', 'PRKCD', 'PRKCD(Y646)', 'unaffected', 'unknown'], Variable(156)]",unaffected,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PRKD1', 'PRKD1(S205)', 'up', 'p_inc'], ['PRKD1(S205)', 'up', 'p_inc', 'PRKCD', 'PRKCD(T141)', 'up', 'p_inc'], ['PRKCD(T141)', 'up', 'p_inc', 'PRKCD', 'PRKCD(T141)', 'up', 'p_inc'], Variable(156)]",loop,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PRKD1', 'PRKD1(S205)', 'up', 'p_inc'], ['PRKD1(S205)', 'up', 'p_inc', 'PRKCD', 'PRKCD(T141)', 'up', 'p_inc'], ['PRKCD(T141)', 'up', 'p_inc', 'PRKCD', 'PRKCD(T507)', 'unaffected', 'p_inc'], Variable(156)]",unaffected,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PRKD1', 'PRKD1(S205)', 'up', 'p_inc'], ['PRKD1(S205)', 'up', 'p_inc', 'PRKCD', 'PRKCD(T141)', 'up', 'p_inc'], ['PRKCD(T141)', 'up', 'p_inc', 'PRKCD', 'PRKCD(S645)', 'unaffected', 'p_inc'], Variable(156)]",unaffected,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PRKD1', 'PRKD1(S205)', 'up', 'p_inc'], ['PRKD1(S205)', 'up', 'p_inc', 'PRKCD', 'PRKCD(T141)', 'up', 'p_inc'], ['PRKCD(T141)', 'up', 'p_inc', 'PRKCD', 'PRKCD(S664)', 'unaffected', 'p_inc'], Variable(156)]",unaffected,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PRKD1', 'PRKD1(S205)', 'up', 'p_inc'], ['PRKD1(S205)', 'up', 'p_inc', 'PRKCD', 'PRKCD(T507)', 'unaffected', 'p_inc'], Variable(146)]",unaffected,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PRKD1', 'PRKD1(S205)', 'up', 'p_inc'], ['PRKD1(S205)', 'up', 'p_inc', 'PRKCD', 'PRKCD(S645)', 'unaffected', 'p_inc'], Variable(146)]",unaffected,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PRKD1', 'PRKD1(S205)', 'up', 'p_inc'], ['PRKD1(S205)', 'up', 'p_inc', 'PRKCD', 'PRKCD(S664)', 'unaffected', 'p_inc'], Variable(146)]",unaffected,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PRKD1', 'PRKD1(S208)', 'unaffected', 'unknown'], Variable(136)]",unaffected,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PPP1CC', 'PPP1CC(T311)', 'up', 'unknown'], ['PPP1CC(T311)', 'up', 'unknown', 'na', 'na', 'na', 'na'], Variable(146)]",no_prior_knowledge,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PHLPP2', 'PHLPP2(S1182)', 'up', 'unknown'], ['PHLPP2(S1182)', 'up', 'unknown', 'na', 'na', 'na', 'na'], Variable(146)]",no_prior_knowledge,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'MAPKAPK2', 'na', 'na', 'na'], Variable(136)]",no_data,unlikely
"[['AKT1(S473)', 'up', 'conflicting', 'PHLPP1', 'PHLPP1(S317)', 'unaffected', 'unknown'], Variable(136)]",unaffected,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PHLPP1', 'PHLPP1(S412)', 'up', 'unknown'], ['PHLPP1(S412)', 'up', 'unknown', 'na', 'na', 'na', 'na'], Variable(146)]",no_prior_knowledge,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PHLPP1', 'PHLPP1(S190)', 'unaffected', 'unknown'], Variable(136)]",unaffected,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PPP1CA', 'PPP1CA(T320)', 'up', 'conflicting'], ['PPP1CA(T320)', 'up', 'conflicting', 'CDK1', 'CDK1(Y15)', 'unaffected', 'p_dec'], Variable(146)]",unaffected,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PPP1CA', 'PPP1CA(T320)', 'up', 'conflicting'], ['PPP1CA(T320)', 'up', 'conflicting', 'CDK1', 'CDK1(T14)', 'unaffected', 'p_dec'], Variable(146)]",unaffected,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PPP1CA', 'PPP1CA(T320)', 'up', 'conflicting'], ['PPP1CA(T320)', 'up', 'conflicting', 'CDK1', 'CDK1(T161)', 'up', 'p_inc'], ['CDK1(T161)', 'up', 'p_inc', 'CDK7', 'CDK7(T170)', 'up', 'p_inc'], ['CDK7(T170)', 'up', 'p_inc', 'CDK7', 'CDK7(T170)', 'up', 'p_inc'], Variable(166)]",loop,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PPP1CA', 'PPP1CA(T320)', 'up', 'conflicting'], ['PPP1CA(T320)', 'up', 'conflicting', 'CDK1', 'CDK1(T161)', 'up', 'p_inc'], ['CDK1(T161)', 'up', 'p_inc', 'CDK7', 'CDK7(T170)', 'up', 'p_inc'], ['CDK7(T170)', 'up', 'p_inc', 'CDK7', 'CDK7(S164)', 'unaffected', 'p_inc'], Variable(166)]",unaffected,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PPP1CA', 'PPP1CA(T320)', 'up', 'conflicting'], ['PPP1CA(T320)', 'up', 'conflicting', 'CDK1', 'CDK1(T161)', 'up', 'p_inc'], ['CDK1(T161)', 'up', 'p_inc', 'CDK7', 'CDK7(T170)', 'up', 'p_inc'], ['CDK7(T170)', 'up', 'p_inc', 'PRKCI', 'PRKCI(T564)', 'up', 'unknown'], ['PRKCI(T564)', 'up', 'unknown', 'na', 'na', 'na', 'na'], Variable(176)]",no_prior_knowledge,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PPP1CA', 'PPP1CA(T320)', 'up', 'conflicting'], ['PPP1CA(T320)', 'up', 'conflicting', 'CDK1', 'CDK1(T161)', 'up', 'p_inc'], ['CDK1(T161)', 'up', 'p_inc', 'CDK7', 'CDK7(T170)', 'up', 'p_inc'], ['CDK7(T170)', 'up', 'p_inc', 'PRKCI', 'PRKCI(S19)', 'unaffected', 'unknown'], Variable(166)]",unaffected,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PPP1CA', 'PPP1CA(T320)', 'up', 'conflicting'], ['PPP1CA(T320)', 'up', 'conflicting', 'CDK1', 'CDK1(T161)', 'up', 'p_inc'], ['CDK1(T161)', 'up', 'p_inc', 'CDK7', 'CDK7(T170)', 'up', 'p_inc'], ['CDK7(T170)', 'up', 'p_inc', 'PRKCI', 'PRKCI(T13)', 'up', 'unknown'], ['PRKCI(T13)', 'up', 'unknown', 'na', 'na', 'na', 'na'], Variable(176)]",no_prior_knowledge,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PPP1CA', 'PPP1CA(T320)', 'up', 'conflicting'], ['PPP1CA(T320)', 'up', 'conflicting', 'CDK1', 'CDK1(T161)', 'up', 'p_inc'], ['CDK1(T161)', 'up', 'p_inc', 'CDK7', 'CDK7(T170)', 'up', 'p_inc'], ['CDK7(T170)', 'up', 'p_inc', 'PRKCI', 'PRKCI(T412)', 'down', 'unknown'], ['PRKCI(T412)', 'down', 'unknown', 'na', 'na', 'na', 'na'], Variable(176)]",no_prior_knowledge,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PPP1CA', 'PPP1CA(T320)', 'up', 'conflicting'], ['PPP1CA(T320)', 'up', 'conflicting', 'CDK1', 'CDK1(T161)', 'up', 'p_inc'], ['CDK1(T161)', 'up', 'p_inc', 'CDK7', 'CDK7(T170)', 'up', 'p_inc'], ['CDK7(T170)', 'up', 'p_inc', 'CDK1', 'CDK1(Y15)', 'unaffected', 'p_dec'], Variable(166)]",unaffected,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PPP1CA', 'PPP1CA(T320)', 'up', 'conflicting'], ['PPP1CA(T320)', 'up', 'conflicting', 'CDK1', 'CDK1(T161)', 'up', 'p_inc'], ['CDK1(T161)', 'up', 'p_inc', 'CDK7', 'CDK7(T170)', 'up', 'p_inc'], ['CDK7(T170)', 'up', 'p_inc', 'CDK1', 'CDK1(T14)', 'unaffected', 'p_dec'], Variable(166)]",unaffected,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PPP1CA', 'PPP1CA(T320)', 'up', 'conflicting'], ['PPP1CA(T320)', 'up', 'conflicting', 'CDK1', 'CDK1(T161)', 'up', 'p_inc'], ['CDK1(T161)', 'up', 'p_inc', 'CDK7', 'CDK7(T170)', 'up', 'p_inc'], ['CDK7(T170)', 'up', 'p_inc', 'CDK1', 'CDK1(T161)', 'up', 'p_inc'], Variable(166)]",loop,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PPP1CA', 'PPP1CA(T320)', 'up', 'conflicting'], ['PPP1CA(T320)', 'up', 'conflicting', 'CDK1', 'CDK1(T161)', 'up', 'p_inc'], ['CDK1(T161)', 'up', 'p_inc', 'CDK7', 'CDK7(T170)', 'up', 'p_inc'], ['CDK7(T170)', 'up', 'p_inc', 'CDK2', 'CDK2(T160)', 'up', 'conflicting'], ['CDK2(T160)', 'up', 'conflicting', 'PPP2CB', 'na', 'na', 'na'], Variable(176)]",no_data,unlikely
"[['AKT1(S473)', 'up', 'conflicting', 'PPP1CA', 'PPP1CA(T320)', 'up', 'conflicting'], ['PPP1CA(T320)', 'up', 'conflicting', 'CDK1', 'CDK1(T161)', 'up', 'p_inc'], ['CDK1(T161)', 'up', 'p_inc', 'CDK7', 'CDK7(T170)', 'up', 'p_inc'], ['CDK7(T170)', 'up', 'p_inc', 'CDK2', 'CDK2(T160)', 'up', 'conflicting'], ['CDK2(T160)', 'up', 'conflicting', 'MAPK3', 'MAPK3(T207)', 'up', 'p_inc'], ['MAPK3(T207)', 'up', 'p_inc', 'MAPK3', 'MAPK3(T207)', 'up', 'p_inc'], Variable(186)]",loop,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PPP1CA', 'PPP1CA(T320)', 'up', 'conflicting'], ['PPP1CA(T320)', 'up', 'conflicting', 'CDK1', 'CDK1(T161)', 'up', 'p_inc'], ['CDK1(T161)', 'up', 'p_inc', 'CDK7', 'CDK7(T170)', 'up', 'p_inc'], ['CDK7(T170)', 'up', 'p_inc', 'CDK2', 'CDK2(T160)', 'up', 'conflicting'], ['CDK2(T160)', 'up', 'conflicting', 'MAPK3', 'MAPK3(T207)', 'up', 'p_inc'], ['MAPK3(T207)', 'up', 'p_inc', 'MAPK3', 'MAPK3(Y204)', 'up', 'conflicting'], ['MAPK3(Y204)', 'up', 'conflicting', 'MAP2K2', 'MAP2K2(S226)', 'unaffected', 'p_inc'], Variable(196)]",unaffected,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PPP1CA', 'PPP1CA(T320)', 'up', 'conflicting'], ['PPP1CA(T320)', 'up', 'conflicting', 'CDK1', 'CDK1(T161)', 'up', 'p_inc'], ['CDK1(T161)', 'up', 'p_inc', 'CDK7', 'CDK7(T170)', 'up', 'p_inc'], ['CDK7(T170)', 'up', 'p_inc', 'CDK2', 'CDK2(T160)', 'up', 'conflicting'], ['CDK2(T160)', 'up', 'conflicting', 'MAPK3', 'MAPK3(T207)', 'up', 'p_inc'], ['MAPK3(T207)', 'up', 'p_inc', 'MAPK3', 'MAPK3(Y204)', 'up', 'conflicting'], ['MAPK3(Y204)', 'up', 'conflicting', 'MAP2K2', 'MAP2K2(T25)', 'unaffected', 'unknown'], Variable(196)]",unaffected,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PPP1CA', 'PPP1CA(T320)', 'up', 'conflicting'], ['PPP1CA(T320)', 'up', 'conflicting', 'CDK1', 'CDK1(T161)', 'up', 'p_inc'], ['CDK1(T161)', 'up', 'p_inc', 'CDK7', 'CDK7(T170)', 'up', 'p_inc'], ['CDK7(T170)', 'up', 'p_inc', 'CDK2', 'CDK2(T160)', 'up', 'conflicting'], ['CDK2(T160)', 'up', 'conflicting', 'MAPK3', 'MAPK3(T207)', 'up', 'p_inc'], ['MAPK3(T207)', 'up', 'p_inc', 'MAPK3', 'MAPK3(Y204)', 'up', 'conflicting'], ['MAPK3(Y204)', 'up', 'conflicting', 'MAP2K2', 'MAP2K2(T394)', 'unaffected', 'unknown'], Variable(196)]",unaffected,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PPP1CA', 'PPP1CA(T320)', 'up', 'conflicting'], ['PPP1CA(T320)', 'up', 'conflicting', 'CDK1', 'CDK1(T161)', 'up', 'p_inc'], ['CDK1(T161)', 'up', 'p_inc', 'CDK7', 'CDK7(T170)', 'up', 'p_inc'], ['CDK7(T170)', 'up', 'p_inc', 'CDK2', 'CDK2(T160)', 'up', 'conflicting'], ['CDK2(T160)', 'up', 'conflicting', 'MAPK3', 'MAPK3(T207)', 'up', 'p_inc'], ['MAPK3(T207)', 'up', 'p_inc', 'MAPK3', 'MAPK3(Y204)', 'up', 'conflicting'], ['MAPK3(Y204)', 'up', 'conflicting', 'MAP2K2', 'MAP2K2(S23)', 'unaffected', 'unknown'], Variable(196)]",unaffected,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PPP1CA', 'PPP1CA(T320)', 'up', 'conflicting'], ['PPP1CA(T320)', 'up', 'conflicting', 'CDK1', 'CDK1(T161)', 'up', 'p_inc'], ['CDK1(T161)', 'up', 'p_inc', 'CDK7', 'CDK7(T170)', 'up', 'p_inc'], ['CDK7(T170)', 'up', 'p_inc', 'CDK2', 'CDK2(T160)', 'up', 'conflicting'], ['CDK2(T160)', 'up', 'conflicting', 'MAPK3', 'MAPK3(T207)', 'up', 'p_inc'], ['MAPK3(T207)', 'up', 'p_inc', 'MAPK3', 'MAPK3(Y204)', 'up', 'conflicting'], ['MAPK3(Y204)', 'up', 'conflicting', 'MAP2K1', 'na', 'na', 'na'], Variable(196)]",no_data,unlikely
"[['AKT1(S473)', 'up', 'conflicting', 'PPP1CA', 'PPP1CA(T320)', 'up', 'conflicting'], ['PPP1CA(T320)', 'up', 'conflicting', 'CDK1', 'CDK1(T161)', 'up', 'p_inc'], ['CDK1(T161)', 'up', 'p_inc', 'CDK7', 'CDK7(T170)', 'up', 'p_inc'], ['CDK7(T170)', 'up', 'p_inc', 'CDK2', 'CDK2(T160)', 'up', 'conflicting'], ['CDK2(T160)', 'up', 'conflicting', 'MAPK3', 'MAPK3(T207)', 'up', 'p_inc'], ['MAPK3(T207)', 'up', 'p_inc', 'MAPK3', 'MAPK3(Y204)', 'up', 'conflicting'], ['MAPK3(Y204)', 'up', 'conflicting', 'MAPK3', 'MAPK3(T207)', 'up', 'p_inc'], Variable(196)]",loop,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PPP1CA', 'PPP1CA(T320)', 'up', 'conflicting'], ['PPP1CA(T320)', 'up', 'conflicting', 'CDK1', 'CDK1(T161)', 'up', 'p_inc'], ['CDK1(T161)', 'up', 'p_inc', 'CDK7', 'CDK7(T170)', 'up', 'p_inc'], ['CDK7(T170)', 'up', 'p_inc', 'CDK2', 'CDK2(T160)', 'up', 'conflicting'], ['CDK2(T160)', 'up', 'conflicting', 'MAPK3', 'MAPK3(T207)', 'up', 'p_inc'], ['MAPK3(T207)', 'up', 'p_inc', 'MAPK3', 'MAPK3(Y204)', 'up', 'conflicting'], ['MAPK3(Y204)', 'up', 'conflicting', 'MAPK3', 'MAPK3(Y204)', 'up', 'conflicting'], Variable(196)]",loop,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PPP1CA', 'PPP1CA(T320)', 'up', 'conflicting'], ['PPP1CA(T320)', 'up', 'conflicting', 'CDK1', 'CDK1(T161)', 'up', 'p_inc'], ['CDK1(T161)', 'up', 'p_inc', 'CDK7', 'CDK7(T170)', 'up', 'p_inc'], ['CDK7(T170)', 'up', 'p_inc', 'CDK2', 'CDK2(T160)', 'up', 'conflicting'], ['CDK2(T160)', 'up', 'conflicting', 'MAPK3', 'MAPK3(T207)', 'up', 'p_inc'], ['MAPK3(T207)', 'up', 'p_inc', 'MAPK3', 'MAPK3(Y204)', 'up', 'conflicting'], ['MAPK3(Y204)', 'up', 'conflicting', 'MAPK3', 'MAPK3(T202)', 'up', 'conflicting'], ['MAPK3(T202)', 'up', 'conflicting', 'MAP2K2', 'MAP2K2(T394)', 'unaffected', 'unknown'], Variable(206)]",unaffected,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PPP1CA', 'PPP1CA(T320)', 'up', 'conflicting'], ['PPP1CA(T320)', 'up', 'conflicting', 'CDK1', 'CDK1(T161)', 'up', 'p_inc'], ['CDK1(T161)', 'up', 'p_inc', 'CDK7', 'CDK7(T170)', 'up', 'p_inc'], ['CDK7(T170)', 'up', 'p_inc', 'CDK2', 'CDK2(T160)', 'up', 'conflicting'], ['CDK2(T160)', 'up', 'conflicting', 'MAPK3', 'MAPK3(T207)', 'up', 'p_inc'], ['MAPK3(T207)', 'up', 'p_inc', 'MAPK3', 'MAPK3(Y204)', 'up', 'conflicting'], ['MAPK3(Y204)', 'up', 'conflicting', 'MAPK3', 'MAPK3(T202)', 'up', 'conflicting'], ['MAPK3(T202)', 'up', 'conflicting', 'MAP2K2', 'MAP2K2(S226)', 'unaffected', 'p_inc'], Variable(206)]",unaffected,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PPP1CA', 'PPP1CA(T320)', 'up', 'conflicting'], ['PPP1CA(T320)', 'up', 'conflicting', 'CDK1', 'CDK1(T161)', 'up', 'p_inc'], ['CDK1(T161)', 'up', 'p_inc', 'CDK7', 'CDK7(T170)', 'up', 'p_inc'], ['CDK7(T170)', 'up', 'p_inc', 'CDK2', 'CDK2(T160)', 'up', 'conflicting'], ['CDK2(T160)', 'up', 'conflicting', 'MAPK3', 'MAPK3(T207)', 'up', 'p_inc'], ['MAPK3(T207)', 'up', 'p_inc', 'MAPK3', 'MAPK3(Y204)', 'up', 'conflicting'], ['MAPK3(Y204)', 'up', 'conflicting', 'MAPK3', 'MAPK3(T202)', 'up', 'conflicting'], ['MAPK3(T202)', 'up', 'conflicting', 'MAP2K2', 'MAP2K2(T25)', 'unaffected', 'unknown'], Variable(206)]",unaffected,_1558
"[['AKT1(S473)', 'up', 'conflicting', 'PPP1CA', 'PPP1CA(T320)', 'up', 'conflicting'], ['PPP1CA(T320)', 'up', 'conflicting', 'CDK1', 'CDK1(T161)', 'up', 'p_inc'], ['CDK1(T161)', 'up', 'p_inc', 'CDK7', 'CDK7(T170)', 'up', 'p_inc'], ['CDK7(T170)', 'up', 'p_inc', 'CDK2', 'CDK2(T160)', 'up', 'conflicting'], ['CDK2(T160)', 'up', 'conflicting', 'MAPK3', 'MAPK3(T207)', 'up', 'p_inc'], ['MAPK3(T207)', 'up', 'p_inc', 'MAPK3', 'MAPK3(Y204)', 'up', 'conflicting'], ['MAPK3(Y204)', 'up', 'conflicting', 'MAPK3', 'MAPK3(T202)', 'up', 'conflicting'], ['MAPK3(T202)', 'up', 'conflicting', 'MAP2K2', 'MAP2K2(S23)', 'unaffected', 'unknown'], Variable(206)]",unaffected,_1558
